Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
N,Old Orchard layby,Penselwood,"Old Orchard layby, Penselwood, BA9 8NE",376316,131032,2017-01-30,Monday,4,14:00,14:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
N,Elliscombe Park,Elliscombe,"Elliscombe Park, Elliscombe, BA9 8EA",367830,127510,2017-01-30,Monday,4,14:35,14:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Puriton Village Hall,Puriton,"Puriton Village Hall, Puriton, TA7 8BP",331807,141561,2017-01-31,Tuesday,4,9:25,9:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Woolavington Village Hall,Woolavington,"Woolavington Village Hall, Woolavington, TA7 8DY",334678,141536,2017-01-31,Tuesday,4,9:50,10:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Wellfield House,Catcott,"Wellfield House, Catcott, TA7 9HT",339603,139345,2017-01-31,Tuesday,4,10:25,10:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Cricket Club,Shapwick,"Cricket Club, Shapwick, TA7 9LN",341873,138183,2017-01-31,Tuesday,4,10:55,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Ashcott School,Ashcott,"Ashcott School, Ashcott, TA7 9PP",343522,137282,2017-01-31,Tuesday,4,11:25,11:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Middle Street,Ashcott,"Middle Street, Ashcott, TA7 9QB",343652,137030,2017-01-31,Tuesday,4,12:00,12:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Abbots Close,Meare,"Abbots Close, Meare, BA6 9TF",344892,141411,2017-01-31,Tuesday,4,13:30,13:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Catcott Burtle,Burtle,"Catcott Burtle, Burtle, TA7 8NB",339958,143143,2017-01-31,Tuesday,4,14:00,14:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Holywell Road,Edington,"Holywell Road, Edington, TA7 9LD",338750,139936,2017-01-31,Tuesday,4,14:30,14:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
O,Church Lane,Chilton Polden,"Church Lane, Chilton Polden, TA7 9DY",337585,139839,2017-01-31,Tuesday,4,14:55,15:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
P,Leach's Field,Kingston St Mary,"Leach's Field, Kingston St Mary, TA2 8JL",321925,129584,2017-02-01,Wednesday,4,10:00,10:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
